ind,sampling_year,sampling_month,sampling_loc,seq_library,library_type,SL_mm,TL_mm,mass_g,juvenile,raw_reads,assem_reads,assem_pct,pheno_ID,pheno_sex,pca_ID_RAD,pca_ID_GBS,entropy_ID,spp_agree,checkHets_quality,keep,comments,final_ID
JAR18_139374,2018,May,Kigoma,lates03,GBS,,,,N,613029,379054,61.80%,Lmar,M,#N/A,Lmar,Lmar,TRUE,4,N,,#N/A
JAR18_139384,2018,May,Kigoma,lates03,GBS,,,,N,1360241,1257021,92.40%,Lmic,,#N/A,#N/A,Lmic,TRUE,2,Y,,Lmic
JAR18_139387,2018,May,Kagunga,lates03,GBS,205,240,88,N,778913,611801,78.50%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
JAR18_139388,2018,May,Kagunga,lates03,GBS,226,264,117,N,1339618,1236048,92.30%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
JAR18_139390,2018,May,Kagunga,lates03,GBS,162,221,77,N,899623,590671,65.70%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
JAR18_139392,2018,May,Kagunga,lates03,GBS,216,251,109,N,1511870,839100,55.50%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
JAR18_139394,2018,May,Kagunga,lates03,GBS,189,233,86,N,1296185,1073928,82.90%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
JAR18_139395,2018,May,Kagunga,lates03,GBS,295,336,262,N,707505,656878,92.80%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
JAR18_139396,2018,May,Kagunga,lates03,GBS,248,285,173,N,1626690,1525319,93.80%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
JAR18_139397,2018,May,Kagunga,lates03,GBS,254,302,182,N,780295,709782,91.00%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
JAR18_139398,2018,May,Kagunga,lates03,GBS,209,250,104,N,785334,323690,41.20%,Lsta,,#N/A,#N/A,Lsta,TRUE,4,N,,#N/A
JAR18_139399,2018,May,Kagunga,lates03,GBS,271,310,192,N,827268,769501,93.00%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
JAR18_139400,2018,May,Kagunga,lates03,GBS,278,311,209,N,1765277,1642482,93.00%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
JAR18_139402,2018,May,Kagunga,lates03,GBS,181,216,75,N,1003581,874691,87.20%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
JAR18_139403,2018,May,Kagunga,lates03,GBS,210,243,97,N,777788,619484,79.60%,Lsta,,#N/A,#N/A,Lsta,TRUE,3,N,,#N/A
JAR18_139404,2018,May,Kagunga,lates03,GBS,228,265,130,N,1002173,638749,63.70%,Lsta,,#N/A,#N/A,Lsta,TRUE,3,N,,#N/A
JAR18_139405,2018,May,Kagunga,lates03,GBS,213,246,103,N,365983,215784,59.00%,Lsta,,#N/A,#N/A,Lsta,TRUE,3,N,,#N/A
JAR18_139406,2018,May,Kagunga,lates03,GBS,252,288,144,N,811642,744982,91.80%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
JAR18_139407,2018,May,Kagunga,lates03,GBS,223,255,125,N,709611,658660,92.80%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
JAR18_139408,2018,May,Kagunga,lates03,GBS,164,221,81,N,1271301,1105637,87.00%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
JAR18_139409,2018,May,Kagunga,lates03,GBS,273,314,180,N,1186254,1095668,92.40%,Lsta,F,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
JAR18_139410,2018,May,Kagunga,lates03,GBS,203,233,75,N,977803,862608,88.20%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
JAR18_139411,2018,May,Kagunga,lates03,GBS,104,228,72,N,507042,400413,79.00%,Lsta,,#N/A,#N/A,Lsta,TRUE,3,N,,#N/A
JAR18_139412,2018,May,Kagunga,lates03,GBS,206,233,88,N,974133,856543,87.90%,Lsta,,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
