New_ID,Moran_FishID,Site,Location,Field.ID,Sex,Library,lates01,lates02,lates03,duplicate,Plate,entropy_dnaID,raxml_dnaID
lates02.JAR18_139361,JAR18_139361,Mwanga,Kigoma,Lang,,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139362,JAR18_139362,Mwanga,Kigoma,Lmic,,lates02,F,T,F,F,02_plate1,Lmic,Lmar
lates02.JAR18_139363,JAR18_139363,Mwanga,Kigoma,Lmic,,lates02,F,T,F,F,02_plate1,Lmic,Lmar
lates02.JAR18_139364,JAR18_139364,Mwanga,Kigoma,Lang,,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139365,JAR18_139365,Mwanga,Kigoma,Lang,,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139366,JAR18_139366,Mwanga,Kigoma,Lang,,lates02lates03,F,T,T,T,"02_plate1,03_plate1",Lmic,Lmar
lates02.JAR18_139367,JAR18_139367,Kigoma Market,Kigoma,Lang,,lates02lates03,F,T,T,T,"02_plate1,03_plate1",Lang,Lang
lates02.JAR18_139368,JAR18_139368,Kigoma Market,Kigoma,Lang,,lates02lates03,F,T,T,T,"02_plate1,03_plate1",Lang,Lang
lates02.JAR18_139369,JAR18_139369,Kigoma Market,Kigoma,Lang,,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139370,JAR18_139370,Kigoma Market,Kigoma,Lang,M,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139371,JAR18_139371,Kigoma Market,Kigoma,Lmar,,lates02lates03,F,T,T,T,"02_plate1,03_plate1",Lang,Lang
lates02.JAR18_139372,JAR18_139372,Kigoma Market,Kigoma,Lang,,lates02lates03,F,T,T,T,"02_plate1,03_plate2",Lang,Lang
lates02.JAR18_139373,JAR18_139373,Kigoma Market,Kigoma,Lang,,lates02lates03,F,T,T,T,"02_plate1,03_plate2",Lunk,Lunk
lates02.JAR18_139374,JAR18_139374,Kigoma Market,Kigoma,Lang,M,lates02lates03,F,T,T,T,"02_plate1,03_plate1",Lmic,Lmar
lates02.JAR18_139375,JAR18_139375,Kigoma Market,Kigoma,Lmar,,lates02,F,T,F,F,02_plate1,Lmar,Lmic
lates02.JAR18_139376,JAR18_139376,Kigoma Market,Kigoma,Lmic,,lates02,F,T,F,F,02_plate1,Lmic,Lmar
lates02.JAR18_139377,JAR18_139377,Kigoma Market,Kigoma,Lang,,lates02,F,T,F,F,02_plate1,Lunk,Lunk
lates02.JAR18_139378,JAR18_139378,Kigoma Market,Kigoma,Lmic,,lates02,F,T,F,F,02_plate1,Lmic,Lmar
lates02.JAR18_139379,JAR18_139379,Kigoma Market,Kigoma,Lang,,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139380,JAR18_139380,Kigoma Market,Kigoma,Lang,,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139381,JAR18_139381,Kigoma Market,Kigoma,Lang,,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139382,JAR18_139382,Kigoma Market,Kigoma,Lmic,,lates02,F,T,F,F,02_plate1,Lmic,Lmar
lates02.JAR18_139383,JAR18_139383,Kigoma Market,Kigoma,Lang,,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139384,JAR18_139384,Kigoma Market,Kigoma,Lmic,,lates02lates03,F,T,T,T,"02_plate1,03_plate1",Lmar,Lmic
lates02.JAR18_139385,JAR18_139385,Kigoma Market,Kigoma,Lmic,,lates02lates03,F,T,T,T,"02_plate1,03_plate1",Lunk,Lunk
lates02.JAR18_139386,JAR18_139386,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate2",Lunk,Lunk
lates02.JAR18_139387,JAR18_139387,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate2",Lsta,Lsta
