ind,Field_ID,FishEC_num,sampling_year,sampling_month,sampling_loc,seq_library,SL_mm,TL_mm,mass_g,juvenile,data_type,raw_reads,assem_reads,assem_pct,pheno_ID,final_ID,assign_k2,assign_k3,assign_k4,assign_k5,assign_k6
JAR18_139862,#N/A,139862,2018,May,Kirando,lates03,198,230,75,N,GBS,1266206,1145897,90.50%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139867,#N/A,139867,2018,May,Kirando,lates03,192,223,77,N,GBS,438729,410354,93.50%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139891,#N/A,139891,2018,May,Kirando,lates03,NA,NA,NA,N,GBS,1643525,1545493,94.00%,Lmar,Lang,X2,X2,X4,X1,X1
JAR18_139895,#N/A,139895,2018,May,Kirando,lates03,600,695,2900,N,GBS,1217405,1134479,93.20%,Lmar,Lmar,X2,X1,X3,X2,X3
JAR18_139897,#N/A,139897,2018,May,Kirando,lates03,391,482,1023,N,GBS,1177054,1096512,93.20%,Lmar,Lmar,X2,X1,X3,X2,X3
JAR18_139899,#N/A,139899,2018,May,Kirando,lates03,428,502,1370,N,GBS,1442052,1339796,92.90%,Lmar,Lmar,X2,X1,X3,X2,X3
JAR18_139900,#N/A,139900,2018,May,Kirando,lates03,325,365,679,N,GBS,1581481,1447506,91.50%,Lang,Lang,X2,X2,X4,X1,X1
JAR18_139901,#N/A,139901,2018,May,Kirando,lates03,209,247,139,Y,GBS,55496,52458,94.50%,Lmar,NA,NA,NA,NA,NA,NA
JAR18_139902,#N/A,139902,2018,May,Kirando,lates03,448,502,1365,N,GBS,1584765,1472993,92.90%,Lang,Lang,X1,X1,X2,X5,X6
JAR18_139903,#N/A,139903,2018,May,Kirando,lates03,605,704,4000,N,GBS,1412423,1317044,93.20%,Lang,Lang,X1,X2,X4,X1,X1
JAR18_139906,#N/A,139906,2018,May,Kirando,lates03,220,260,164,Y,GBS,862363,376734,43.70%,Lmar,NA,NA,NA,NA,NA,NA
JAR18_139907,#N/A,139907,2018,May,Kirando,lates03,256,292,211,Y,GBS,768642,624870,81.30%,Lmar,NA,NA,NA,NA,NA,NA
JAR18_139914,#N/A,139914,2018,May,Kirando,lates03,594,748,2900,N,GBS,1539679,1429927,92.90%,Lmic,Lmic,X2,X1,X4,X2,X5
JAR18_139921,#N/A,139921,2018,May,Kirando,lates03,590,670,3200,N,GBS,177180,113500,64.10%,Lmar,NA,NA,NA,NA,NA,NA
JAR18_139922,#N/A,139922,2018,May,Wampembe,lates03,600,700,4450,N,GBS,1140184,1029655,90.30%,Lang,NA,NA,NA,NA,NA,NA
JAR18_139923,#N/A,139923,2018,May,Wampembe,lates03,501,509,2000,N,GBS,1397254,1295919,92.70%,Lmar,Lmar,X2,X2,X4,X1,X1
JAR18_139924,#N/A,139924,2018,May,Wampembe,lates03,405,501,1000,N,GBS,832266,641991,77.10%,Lang,NA,NA,NA,NA,NA,NA
JAR18_139925,#N/A,139925,2018,May,Wampembe,lates03,409,505,2000,N,GBS,1047760,963669,92.00%,Lang,Lang,X1,X1,X2,X5,X5
JAR18_139926,#N/A,139926,2018,May,Wampembe,lates03,409,500,1300,N,GBS,1143684,1065980,93.20%,Lang,Lang,X1,X1,X2,X5,X5
JAR18_139927,#N/A,139927,2018,May,Wampembe,lates03,500,508,1200,N,GBS,985084,863485,87.70%,Lmar,NA,NA,NA,NA,NA,NA
JAR18_139928,#N/A,139928,2018,May,Wampembe,lates03,401,407,1000,N,GBS,1149964,1065694,92.70%,Lmar,NA,NA,NA,NA,NA,NA
JAR18_139929,#N/A,139929,2018,May,Wampembe,lates03,440,447,737,N,GBS,1208711,1140988,94.40%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139930,#N/A,139930,2018,May,Wampembe,lates03,215,250,148,Y,GBS,869535,815559,93.80%,Lang,Lang,X2,X2,X4,X1,X1
JAR18_139931,#N/A,139931,2018,May,Wampembe,lates03,218,250,148,Y,GBS,821028,770369,93.80%,Lang,Lang,X2,X2,X4,X1,X1
JAR18_139932,#N/A,139932,2018,May,Wampembe,lates03,140,160,39,Y,GBS,1024820,949251,92.60%,Juv,Lmar,X2,X2,X4,X1,X1
JAR18_139933,#N/A,139933,2018,May,Wampembe,lates03,170,200,70,Y,GBS,949494,891798,93.90%,Lmar,Lmar,X2,X2,X4,X1,X1
JAR18_139934,#N/A,139934,2018,May,Wampembe,lates03,153,179,97,Y,GBS,1324956,1248567,94.20%,Lang,Lmar,X2,X2,X4,X1,X1
JAR18_139935,#N/A,139935,2018,May,Wampembe,lates03,102,123,11,Y,GBS,1174003,1104630,94.10%,Lmar,Lmar,X2,X2,X4,X1,X1
JAR18_139936,#N/A,139936,2018,May,Wampembe,lates03,140,161,37,Y,GBS,1023064,960753,93.90%,Lmar,Lmar,X2,X1,X3,X2,X2
JAR18_139937,#N/A,139937,2018,May,Wampembe,lates03,165,191,73,Y,GBS,1019373,957376,93.90%,Lmar,Lmar,X2,X2,X4,X1,X1
JAR18_139938,#N/A,139938,2018,May,Wampembe,lates03,79,90,3,Y,GBS,743001,699754,94.20%,Lmar,Lmar,X2,X1,X3,X2,X2
